Card Name,Rating - Draftmancer,Rating - AF,Set,Source,Notes,,LowInkValue,RegularInkValue,,PowerBand Options,retail Power Band
Merlin - Goat,3,C+,2,Frank Karsten,,,4,3,,,
Bashful - Hopeless Romantic,3,C+,2,Frank Karsten,,,4,3,,,
Queen of Hearts - Impulsive Ruler,3,C+,2,Frank Karsten,,,4,3,,,
Magic Broom - Industrial Model,3,C+,2,Frank Karsten,,,4,3,,,
Piglet - Very Small Animal,3,C+,2,Frank Karsten,,,4,3,,,
Blue Fairy - Rewarding Good Deeds,3,C+,2,Frank Karsten,,,4,3,,,
Panic - Underworld Imp,3,C+,2,Frank Karsten,,,3,3,,,
Minnie Mouse - Wide-Eyed Diver,3,C+,2,Frank Karsten,,,4,3,,,
Grand Duke - Advisor to the King,3,C+,2,Frank Karsten,,,4,3,,,
Rapunzel - Gifted Artist,3,C+,2,Frank Karsten,,,4,3,,,
Namaari - Morning Mist,3,C+,2,Frank Karsten,,,3,3,,,
Tiana - True Princess,3,C+,2,Frank Karsten,,,4,3,,,
Mulan - Free Spirit,3,C+,2,Frank Karsten,,,4,3,,,
Ratigan - Very Large Mouse,3,C+,2,Frank Karsten,,,3,3,,,
Doc - Leader of the Seven Dwarfs,3,C+,2,Frank Karsten,,,4,3,,,
Prince Charming - Heir to the Throne,3,C+,2,Frank Karsten,,,4,3,,,
Dr. Facilier - Savvy Opportunist,3,C+,2,Frank Karsten,,,4,3,,,
Teeth and Ambitions,3,C+,2,Frank Karsten,,,4,3,,,
Sneezy - Very Allergic,3,C+,2,Frank Karsten,,,4,3,,,
Chief Bogo - Respected Officer,3,C,2,Frank Karsten,,,2,3,,,
Enchantress - Unexpected Judge,3,C,2,Frank Karsten,,,3,3,,,
Kuzco - Wanted Llama,3,C,2,Frank Karsten,,,3,3,,,
Basil - Of Baker Street,3,C,2,Frank Karsten,,,3,3,,,
James - Role Model,3,C,2,Frank Karsten,,,2,3,,,
Mother Gothel - Withered and Wicked,3,C,2,Frank Karsten,,,3,3,,,
Eudora - Accomplished Seamstress,3,C,2,Frank Karsten,,,3,3,,,
Baloo - Fun-Loving Bear,3,C,2,Frank Karsten,,,3,3,,,
Prince Naveen - Penniless Royal,3,C,2,Frank Karsten,,,3,3,,,
Cheshire Cat - Always Grinning,3,C,2,Frank Karsten,,,3,3,,,
Caterpillar - Calm and Collected,3,C,2,Frank Karsten,,,3,3,,,
Minnie Mouse - Zipping Around,3,C,2,Frank Karsten,,,3,3,,,
Tigger - One of a Kind,3,C,2,Frank Karsten,,,3,3,,,
Basil - Perceptive Investigator,3,C,2,Frank Karsten,,,3,3,,,
Nothing to Hide,3,C,2,Frank Karsten,,,3,3,,,
Winnie The Pooh - Having a Think,3,C,2,Frank Karsten,,,3,3,,,
Nick Wilde - Wily Fox,3,C,2,Frank Karsten,,,3,3,,,
Benja - Guardian of the Dragon Gem,3,C,2,Frank Karsten,,,3,3,,,
Gumbo Pot,3,C,2,Frank Karsten,,,3,3,,,
Arthur - Trained Swordsman,3,C,2,Frank Karsten,,,3,3,,,
Robin Hood - Capable Fighter,3,C,2,Frank Karsten,,,2,3,,,
Eli La Bouff - Big Daddy,3,C,2,Frank Karsten,,,3,3,,,
Four Dozen Eggs,3,C,2,Frank Karsten,,,3,3,,,
Cinderella - Knight in Training,3,C,2,Frank Karsten,,,3,3,,,
Raya - Warrior of Kumandra,3,C,2,Frank Karsten,,,3,3,,,
Mouse Armor,3,C,2,Frank Karsten,,,2,3,,,
Go the Distance,3,C,2,Frank Karsten,,,3,3,,,
Pete - Bad Guy,3,C,2,Frank Karsten,,,3,3,,,
Flynn Rider - Confident Vagabond,3,C,2,Frank Karsten,,,3,3,,,
Tiana - Diligent Waitress,3,C,2,Frank Karsten,,,3,3,,,
Pinocchio - Star Attraction,2,C-,2,Frank Karsten,,,1,2,,,
Hiram Flaversham - Toymaker,2,C-,2,Frank Karsten,,,3,2,,,
Madam Mim - Rival of Merlin,2,C-,2,Frank Karsten,,,3,2,,,
Mickey Mouse - Friendly Face,2,C-,2,Frank Karsten,,,3,2,,,
Goofy - Knight for a Day,2,C-,2,Frank Karsten,,,3,2,,,
Legend of the Sword in the Stone,2,C-,2,Frank Karsten,,,3,2,,,
Last Cannon,2,C-,2,Frank Karsten,,,3,2,,,
Bounce,2,C-,2,Frank Karsten,,,1,2,,,
Last Stand,2,C-,2,Frank Karsten,,,1,2,,,
Judy Hopps - Optimistic Officer,2,C-,2,Frank Karsten,,,3,2,,,
Arthur - Wizard's Apprentice,2,C-,2,Frank Karsten,,,1,2,,,
Dinner Bell,2,C-,2,Frank Karsten,,,1,2,,,
The Huntsman - Reluctant Enforcer,2,C-,2,Frank Karsten,,,3,2,,,
Gaston - Baritone Bully,2,C-,2,Frank Karsten,,,3,2,,,
Merlin - Squirrel,2,C-,2,Frank Karsten,,,3,2,,,
Nana - Darling Family Pet,2,C-,2,Frank Karsten,,,3,2,,,
Bucky - Squirrel Squeak Tutor,2,C-,2,Frank Karsten,,,3,2,,,
Tiana - Celebrating Princess,2,C-,2,Frank Karsten,,,1,2,,,
